SALT_CODE,SALT_DESC,SALT_WEIGHT,SALT_FORMULA
00,Parent Structure,,
01,HYDROCHLORIDE,36.461,HCl
02,SODIUM,22.9898,Na
03,HYDRATE,18.02,H2O
04,HYDROBROMIDE,80.912,HBr
05,HYDROIODIDE,127.9124,HI
06,POTASSIUM,39.102,K
07,CALCIUM,40.08,Ca
08,SULFATE,98.0775,H2O4S
09,PHOSPHATE,97.9953,H3O4P
10,CITRATE,192.1265,C6H8O7
