SALT_CODE,SALT_DESC,SALT_WEIGHT,SALT_FORMULA
0,Parent Structure,,
1,HYDROCHLORIDE,36.461,HCl
2,SODIUM,22.9898,Na
3,HYDRATE,18.02,H2O
4,HYDROBROMIDE,80.912,HBr
5,HYDROIODIDE,127.9124,HI
6,POTASSIUM,39.102,K
7,CALCIUM,40.08,Ca
8,SULFATE,98.0775,H2O4S
9,PHOSPHATE,97.9953,H3O4P
10,CITRATE,192.1265,C6H8O7
